fold_id,fold_index,test_cbsa_a,test_cbsa_b,method,cbsa_code,target,n_samples,y_true_mean,y_pred_mean,pred_bias_mean,mae,rmse,r2
test_14460_35620,16,14460,35620,nearest_train_city_mean,35620,Transit_share,885,0.3300176550685805,0.0990914191683153,-0.2309262359002651,0.2702428326337664,0.3581475674249041,-0.9751156036735258
test_14460_35620,16,14460,35620,nearest_train_city_mean,35620,NonTransit_share,885,0.1197259636501158,0.0807147647976202,-0.0390111988524955,0.09094075185672,0.1329317570114611,-0.1202974034164283
test_14460_35620,16,14460,35620,nearest_train_city_mean,35620,avg,885,,,,0.2329174696713568,0.3079483041240036,-0.6645237554240505
test_14460_35620,16,14460,35620,test_city_oracle_mean,14460,Car_share,1115,0.7720657517114665,0.7720657517114664,-3.1862902948883417e-18,0.181195221125225,0.2276663196779798,1.1102230246251563e-16
test_14460_35620,16,14460,35620,test_city_oracle_mean,14460,Transit_share,1115,0.1220790640614959,0.1220790640614959,0.0,0.105544115146397,0.1325412235410779,0.0
test_14460_35620,16,14460,35620,test_city_oracle_mean,14460,NonTransit_share,1115,0.1058551842270376,0.1058551842270376,1.1152016032109197e-17,0.0963312261757294,0.1441449148349586,0.0
test_14460_35620,16,14460,35620,test_city_oracle_mean,14460,avg,1115,,,,0.1276901874824505,0.1681174860180055,3.7007434154171876e-17
test_14460_35620,16,14460,35620,test_city_oracle_mean,35620,Car_share,885,0.5502563812813035,0.5502563812813035,-2.81005601713034e-17,0.2844608796350297,0.3141134337528695,0.0
test_14460_35620,16,14460,35620,test_city_oracle_mean,35620,Transit_share,885,0.3300176550685805,0.3300176550685805,-3.2114925910061026e-17,0.2279113368824296,0.2548389140423297,0.0
test_14460_35620,16,14460,35620,test_city_oracle_mean,35620,NonTransit_share,885,0.1197259636501158,0.1197259636501158,-2.007182869378814e-18,0.0940906499915756,0.1255920300431169,0.0
test_14460_35620,16,14460,35620,test_city_oracle_mean,35620,avg,885,,,,0.202154288836345,0.231514792612772,0.0
