GEOID,cbsa_code,cbsa_title,county_fips,NAME,total_commuters,Car_count,Transit_count,NonTransit_count,ExcludedWFH_count,class3_denominator,tripmode_denominator,share_sum,Car_share,Transit_share,NonTransit_share,label_schema,label_version,wfh_policy
13045911201,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9112.01; Carroll County; Georgia,1062.0,935.0,0.0,18.0,109.0,953.0,953.0,1.0,0.9811122770199371,0.0,0.01888772298006296,commute_tripmode3_contract,v2.0,excluded
13045911202,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13045,Census Tract 9112.02; Carroll County; Georgia,1525.0,1415.0,34.0,31.0,45.0,1480.0,1480.0,0.9999999999999999,0.956081081081081,0.022972972972972974,0.020945945945945947,commute_tripmode3_contract,v2.0,excluded
13057090101,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 901.01; Cherokee County; Georgia,2632.0,2437.0,0.0,13.0,182.0,2450.0,2450.0,1.0,0.9946938775510205,0.0,0.005306122448979592,commute_tripmode3_contract,v2.0,excluded
13057090102,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 901.02; Cherokee County; Georgia,2601.0,2041.0,0.0,128.0,432.0,2169.0,2169.0,1.0,0.9409866297833103,0.0,0.05901337021668972,commute_tripmode3_contract,v2.0,excluded
13057090103,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 901.03; Cherokee County; Georgia,1159.0,1064.0,0.0,0.0,95.0,1064.0,1064.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090201,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 902.01; Cherokee County; Georgia,1380.0,1189.0,0.0,18.0,173.0,1207.0,1207.0,1.0,0.9850869925434963,0.0,0.014913007456503728,commute_tripmode3_contract,v2.0,excluded
13057090202,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 902.02; Cherokee County; Georgia,3301.0,2662.0,15.0,63.0,561.0,2740.0,2740.0,1.0,0.9715328467153285,0.005474452554744526,0.022992700729927006,commute_tripmode3_contract,v2.0,excluded
13057090301,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 903.01; Cherokee County; Georgia,2640.0,1678.0,33.0,42.0,887.0,1753.0,1753.0,1.0,0.9572162007986309,0.018824871648602397,0.023958927552766685,commute_tripmode3_contract,v2.0,excluded
13057090302,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 903.02; Cherokee County; Georgia,953.0,698.0,0.0,0.0,255.0,698.0,698.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090303,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 903.03; Cherokee County; Georgia,2715.0,1636.0,0.0,19.0,1060.0,1655.0,1655.0,1.0,0.9885196374622357,0.0,0.011480362537764351,commute_tripmode3_contract,v2.0,excluded
13057090401,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 904.01; Cherokee County; Georgia,2854.0,2660.0,0.0,86.0,108.0,2746.0,2746.0,1.0,0.9686817188638019,0.0,0.031318281136198105,commute_tripmode3_contract,v2.0,excluded
13057090402,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 904.02; Cherokee County; Georgia,3310.0,2673.0,0.0,74.0,563.0,2747.0,2747.0,1.0,0.9730615216599927,0.0,0.02693847834000728,commute_tripmode3_contract,v2.0,excluded
13057090503,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 905.03; Cherokee County; Georgia,2674.0,1511.0,0.0,0.0,1163.0,1511.0,1511.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090504,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 905.04; Cherokee County; Georgia,2925.0,2372.0,0.0,0.0,553.0,2372.0,2372.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090505,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 905.05; Cherokee County; Georgia,2647.0,1965.0,2.0,56.0,624.0,2023.0,2023.0,1.0,0.9713297083539298,0.0009886307464162135,0.02768166089965398,commute_tripmode3_contract,v2.0,excluded
13057090506,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 905.06; Cherokee County; Georgia,2351.0,1986.0,0.0,0.0,365.0,1986.0,1986.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090507,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 905.07; Cherokee County; Georgia,1441.0,1162.0,0.0,0.0,279.0,1162.0,1162.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090603,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 906.03; Cherokee County; Georgia,3679.0,3298.0,0.0,0.0,381.0,3298.0,3298.0,1.0,1.0,0.0,0.0,commute_tripmode3_contract,v2.0,excluded
13057090604,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13057,Census Tract 906.04; Cherokee County; Georgia,1584.0,1328.0,0.0,174.0,82.0,1502.0,1502.0,1.0,0.8841544607190412,0.0,0.11584553928095873,commute_tripmode3_contract,v2.0,excluded
